City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
132,Mitsamiouli,KM,-11.3847,43.2844,82.87,74,67,3.94,light rain
133,Dabhoi,IN,22.1833,73.4333,91.17,15,5,6.6,clear sky
134,Camana,PE,-16.6228,-72.7111,73.98,73,36,10.94,scattered clouds
135,Praia Da Vitoria,PT,38.7333,-27.0667,65.75,81,19,7.38,few clouds
136,Lebu,CL,-37.6167,-73.65,60.22,65,67,5.14,broken clouds
137,Takoradi,GH,4.8845,-1.7554,86.63,69,100,12.55,overcast clouds
138,Ostrovnoy,RU,68.0531,39.5131,21.92,72,100,13.58,light snow
139,Nemuro,JP,43.3236,145.575,31.84,80,7,8.14,clear sky
140,Beloha,MG,-25.1667,45.05,70.88,72,65,14.29,broken clouds
141,Narsaq,GL,60.9167,-46.05,44.82,66,86,2.8,overcast clouds
142,Vestmannaeyjar,IS,63.4427,-20.2734,38.39,81,75,33.38,broken clouds
143,Lompoc,US,34.6391,-120.4579,57.6,79,75,11.5,broken clouds
144,Faya,SA,18.3851,42.4509,64.92,36,0,6.17,clear sky
145,Husavik,IS,66.0449,-17.3389,29.52,60,100,8.57,overcast clouds
146,Aswan,EG,24.0934,32.907,81.48,14,0,16.26,clear sky
147,Barrow,US,71.2906,-156.7887,-5.78,77,20,18.41,haze
148,Mayo,US,38.8876,-76.5119,40.66,43,100,11.99,overcast clouds
149,Kenai,US,60.5544,-151.2583,34.03,88,100,19.57,overcast clouds
150,Lorengau,PG,-2.0226,147.2712,81.37,80,96,8.25,overcast clouds
151,Porto Novo,BJ,6.4965,2.6036,90.0,60,84,12.46,broken clouds
152,Bezhetsk,RU,57.7851,36.6965,34.5,95,100,14.25,snow
153,Hasaki,JP,35.7333,140.8333,50.4,54,100,15.01,overcast clouds
154,Ostersund,SE,63.1792,14.6357,31.6,69,75,18.41,broken clouds
155,Vaini,TO,-21.2,-175.2,75.36,100,75,11.5,light intensity drizzle
156,Walvis Bay,NA,-22.9575,14.5053,68.09,76,11,8.21,few clouds
157,Belaya Gora,RU,68.5333,146.4167,-14.33,100,72,1.5,broken clouds
158,Nabire,ID,-3.3667,135.4833,74.62,96,100,4.21,heavy intensity rain
159,The Valley,AI,18.217,-63.0578,83.1,74,64,15.59,broken clouds
160,Talnakh,RU,69.4865,88.3972,-3.64,97,83,7.74,broken clouds
161,Vaitape,PF,-16.5167,-151.75,82.29,70,17,14.52,few clouds
162,Lagos,NG,6.5833,3.75,89.46,62,42,11.16,scattered clouds
163,Gidam,IN,18.9833,81.4,80.37,22,0,1.34,clear sky
164,Nuuk,GL,64.1835,-51.7216,36.21,64,20,5.75,few clouds
165,Srednekolymsk,RU,67.45,153.6833,-15.68,100,12,3.24,few clouds
166,Severo-Kurilsk,RU,50.6789,156.125,29.41,95,92,40.29,snow
167,Saryozek,KZ,44.3583,77.9753,38.28,64,52,5.21,broken clouds
168,Saint-Leu,RE,-21.15,55.2833,81.46,75,54,0.63,broken clouds
169,Arlit,NE,18.7369,7.3853,97.56,2,69,6.17,broken clouds
170,Katobu,ID,-4.9408,122.5276,76.35,88,96,1.61,overcast clouds
171,Mehamn,NO,71.0357,27.8492,28.35,69,75,20.71,light snow
172,Altayskoye,RU,51.9533,85.3325,33.49,99,100,2.19,light snow
173,Port Blair,IN,11.6667,92.75,82.44,78,20,2.3,mist
174,Skelleftea,SE,64.7507,20.9528,26.01,53,40,8.05,scattered clouds
175,Linhares,BR,-19.3911,-40.0722,90.48,45,76,4.41,broken clouds
176,Norman Wells,CA,65.282,-126.8329,5.11,95,100,4.0,overcast clouds
177,La Ronge,CA,55.1001,-105.2842,16.41,91,100,7.07,overcast clouds
178,Urbano Santos,BR,-3.2078,-43.4036,86.85,66,60,5.84,broken clouds
179,Bengkulu,ID,-3.8004,102.2655,76.8,81,98,6.71,overcast clouds
180,Oistins,BB,13.0667,-59.5333,86.09,58,20,21.85,few clouds
181,Samarai,PG,-10.6167,150.6667,81.55,77,100,8.08,overcast clouds
182,Lagoa,PT,39.05,-27.9833,59.22,80,74,4.43,broken clouds
183,Gat,IL,31.61,34.7642,67.41,4,0,12.77,clear sky
184,Kavaratti,IN,10.5669,72.642,84.22,75,8,10.4,clear sky
185,Eugene,US,44.0521,-123.0867,53.82,86,100,5.75,overcast clouds
186,Palmer,US,42.1584,-72.3287,29.5,32,85,8.01,overcast clouds
187,Otradnoye,RU,59.7775,30.8181,33.85,90,66,14.43,light snow
188,Ha Giang,VN,22.8333,104.9833,66.92,95,94,1.99,overcast clouds
189,Cabedelo,BR,-6.9811,-34.8339,88.47,72,71,14.09,broken clouds
190,Tsumeb,NA,-19.2333,17.7167,76.05,51,95,8.3,overcast clouds
191,Kruisfontein,ZA,-34.0033,24.7314,81.88,56,100,11.5,overcast clouds
192,Vila Velha,BR,-20.3297,-40.2925,89.55,64,20,12.66,few clouds
193,Atambua,ID,-9.1061,124.8925,73.18,87,100,2.53,overcast clouds
194,Mathathane,BW,-22.2687,28.7495,77.5,47,0,17.29,clear sky
195,Ukiah,US,39.1502,-123.2078,51.69,92,100,0.0,overcast clouds
196,Noumea,NC,-22.2763,166.4572,75.18,80,96,8.52,overcast clouds
197,Jadu,LY,31.953,12.0261,67.41,36,4,10.83,clear sky
198,Flinders,AU,-34.5833,150.8552,68.18,93,100,8.99,moderate rain
199,Dong Hoi,VN,17.4833,106.6,69.33,86,100,6.82,overcast clouds
200,Marovoay,MG,-16.1,46.6333,79.09,89,97,5.12,overcast clouds
201,Eureka,US,40.8021,-124.1637,54.68,72,99,3.04,overcast clouds
202,Lata,PT,40.1629,-8.3327,73.49,40,100,6.04,overcast clouds
203,Yenotayevka,RU,47.2456,47.0281,33.91,40,82,16.31,broken clouds
204,Russkiy Aktash,RU,55.0384,52.1214,13.68,92,75,8.39,broken clouds
205,Saskylakh,RU,71.9167,114.0833,-0.29,95,100,11.21,overcast clouds
206,Shakawe,BW,-18.3667,21.85,76.71,56,87,4.27,overcast clouds
207,Jalu,LY,29.0331,21.5482,77.81,10,41,12.62,scattered clouds
208,Castro,BR,-24.7911,-50.0119,77.34,58,62,4.43,broken clouds
209,Oussouye,SN,12.485,-16.5469,94.84,24,74,12.24,broken clouds
210,Provideniya,RU,64.3833,-173.3,3.74,83,7,5.37,clear sky
211,Tiksi,RU,71.6872,128.8694,-13.94,100,100,5.88,overcast clouds
212,Zhigansk,RU,66.7697,123.3711,0.63,100,96,9.44,overcast clouds
